Linux 5.15.30-2-pve (superserver2) 	01/27/2024 	_x86_64_	(32 CPU)

04:25:31 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
04:35:56 AM 323681156 389037552   2621588      0.66    857096  64891664  53296212     13.22  42445516  24445608       436   1308744   2822280      9984     16924    861704
04:36:01 AM 323737968 389095664   2564200      0.65    857096  64892928  45902004     11.38  42445660  24387380      1332   1249344   2821592      9984     15832    861640
04:36:06 AM 323708144 389067216   2591848      0.66    857096  64894296  47666428     11.82  42445844  24409260       300   1269524   2822400      9968     15808    861672
04:36:11 AM 323690784 389051464   2607760      0.66    857096  64895852  49594572     12.30  42446028  24419712        80   1278932   2822292      9968     16356    861672
04:36:16 AM 323715864 389078044   2581124      0.65    857096  64897372  45902904     11.38  42446200  24391736       268   1249184   2822328      9968     15892    861656
04:36:21 AM 323645664 389008824   2650556      0.67    857096  64898300  53297652     13.22  42446392  24453596       448   1310704   2822168      9984     16900    861672
04:36:26 AM 323679652 389044268   2614224      0.66    857096  64899716  43963652     10.90  42446544  24420704       420   1276508   2823096      9984     16292    861656
04:36:31 AM 323665580 389031476   2627288      0.67    857096  64900984  50479432     12.52  42446704  24454060       488   1308904   2822836      9984     16708    861640
04:36:36 AM 323660616 389027808   2631628      0.67    857096  64902220  53303232     13.22  42446900  24457596       192   1311428   2822224      9984     16932    861688
04:36:41 AM 323698440 389066884   2592960      0.66    857096  64903436  50482704     12.52  42447044  24429252       884   1281984   2821852      9968     16024    861688
04:36:46 AM 323712088 389082404   2577352      0.65    857096  64905260  46774540     11.60  42447232  24410388       524   1261444   2821988      9984     16152    861736
04:36:51 AM 323666324 389037560   2622504      0.66    857096  64906176  53308564     13.22  42447448  24460496      1440   1310396   2821684      9984     16916    861720
04:36:56 AM 323662308 389035252   2624304      0.66    857096  64907816  53297780     13.22  42447628  24461584      1476   1310052   2822260      9968     16756    861704
04:37:01 AM 323683928 389057664   2602008      0.66    857096  64908600  50487256     12.52  42447780  24441820       804   1290088   2822152      9984     16372    861704
04:37:06 AM 323651236 389026668   2633084      0.67    857096  64910288  50490840     12.52  42447932  24461076      1116   1307932   2822080      9968     16864    861672
04:37:11 AM 323676400 389053312   2606328      0.66    857096  64911764  46786740     11.60  42448124  24430712      1276   1276144   2822196      9968     16304    861720
04:37:16 AM 323647084 389025308   2634368      0.67    857096  64913064  50496456     12.52  42448320  24459412      1468   1303784   2822172      9968     16360    861704
04:37:21 AM 323645020 389024624   2634544      0.67    857096  64914448  50484436     12.52  42448484  24448552      1060   1291720   2822676      9968     16364    861640
04:37:26 AM 323610284 388990832   2667552      0.68    857096  64915296  53298804     13.22  42448668  24468768      1088   1311204   2823556      9984     16668    861704
04:37:31 AM 323639248 389021512   2637204      0.67    857096  64916968  49598300     12.30  42448808  24442704      1044   1283656   2823268      9984     16528    861672
04:37:36 AM 323624716 389008136   2651012      0.67    857096  64918124  53309312     13.22  42449024  24471216      1688   1310820   2822836      9984     16944    861672
04:37:41 AM 323636344 389021052   2637300      0.67    857096  64919396  53298632     13.22  42449192  24471652      1128   1310632   2823648      9984     16708    861688
