Timestamp,CPU,CPU MHz,module,event
2024-01-22 15:07:15,20,800.0,rigidbody,start
2024-01-22 15:07:15,21,1500.0,rigidbody,start
2024-01-22 15:07:15,22,800.0,rigidbody,start
2024-01-22 15:07:15,23,800.0,rigidbody,start
2024-01-22 15:07:15,24,800.0,rigidbody,start
2024-01-22 15:07:15,25,800.0,rigidbody,start
2024-01-22 15:07:15,26,800.0,rigidbody,start
2024-01-22 15:07:15,27,800.0,rigidbody,start
2024-01-22 15:07:15,28,800.0,rigidbody,start
2024-01-22 15:07:15,29,800.0,rigidbody,start
2024-01-22 15:07:15,30,800.0,rigidbody,start
2024-01-22 15:07:15,31,800.0,rigidbody,start
2024-01-22 15:07:20,0,800.0,rigidbody,start
2024-01-22 15:07:20,1,1900.0,rigidbody,start
2024-01-22 15:07:20,2,800.0,rigidbody,start
2024-01-22 15:07:20,3,800.0,rigidbody,start
2024-01-22 15:07:20,4,800.0,rigidbody,start
2024-01-22 15:07:20,5,800.0,rigidbody,start
2024-01-22 15:07:20,6,800.0,rigidbody,start
2024-01-22 15:07:20,7,2000.0,rigidbody,start
2024-01-22 15:07:20,8,800.0,rigidbody,start
2024-01-22 15:07:20,9,800.0,rigidbody,start
2024-01-22 15:07:20,10,800.0,rigidbody,start
2024-01-22 15:07:20,11,800.0,rigidbody,start
2024-01-22 15:07:20,12,800.0,rigidbody,start
2024-01-22 15:07:20,13,800.0,rigidbody,start
2024-01-22 15:07:20,14,800.0,rigidbody,start
2024-01-22 15:07:20,15,800.0,rigidbody,start
2024-01-22 15:07:20,16,1900.0,rigidbody,start
2024-01-22 15:07:20,17,800.0,rigidbody,start
2024-01-22 15:07:20,18,1427.281,rigidbody,start
2024-01-22 15:07:20,19,2100.0,rigidbody,start
2024-01-22 15:07:20,20,800.0,rigidbody,start
2024-01-22 15:07:20,21,800.0,rigidbody,start
2024-01-22 15:07:20,22,2100.0,rigidbody,start
2024-01-22 15:07:20,23,800.0,rigidbody,start
2024-01-22 15:07:20,24,800.0,rigidbody,start
2024-01-22 15:07:20,25,800.0,rigidbody,start
2024-01-22 15:07:20,26,800.0,rigidbody,start
2024-01-22 15:07:20,27,800.0,rigidbody,start
2024-01-22 15:07:20,28,800.0,rigidbody,start
2024-01-22 15:07:20,29,800.0,rigidbody,start
2024-01-22 15:07:20,30,800.0,rigidbody,start
2024-01-22 15:07:20,31,800.0,rigidbody,start
2024-01-22 15:07:25,0,2000.0,rigidbody,start
2024-01-22 15:07:25,1,800.0,rigidbody,start
2024-01-22 15:07:25,2,800.0,rigidbody,start
2024-01-22 15:07:25,3,800.0,rigidbody,start
2024-01-22 15:07:25,4,800.0,rigidbody,start
2024-01-22 15:07:25,5,800.0,rigidbody,start
2024-01-22 15:07:25,6,800.0,rigidbody,start
2024-01-22 15:07:25,7,977.724,rigidbody,start
2024-01-22 15:07:25,8,800.0,rigidbody,start
2024-01-22 15:07:25,9,800.0,rigidbody,start
2024-01-22 15:07:25,10,800.0,rigidbody,start
2024-01-22 15:07:25,11,800.0,rigidbody,start
2024-01-22 15:07:25,12,800.0,rigidbody,start
2024-01-22 15:07:25,13,800.0,rigidbody,start
2024-01-22 15:07:25,14,800.0,rigidbody,start
2024-01-22 15:07:25,15,800.0,rigidbody,start
