Linux 5.15.0-87-generic (gl6) 	01/31/2024 	_x86_64_	(32 CPU)

02:12:47 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
02:26:52 PM  49261460 389377068   1433548      0.36   4007576 326165672   3152468      0.78 150263128 180078916         8    196716  13990884      8368      4468    301248
02:26:57 PM  49259620 389376660   1433884      0.36   4007576 326167048   3152468      0.78 150263128 180080684         4    197136  13991012      8384      4524    301264
02:27:02 PM  49256072 389375168   1435308      0.36   4007576 326169012   3152600      0.78 150263128 180082464       172    196936  13991172      8368      4468    301264
02:27:07 PM  49254588 389374880   1435604      0.36   4007576 326170144   3152600      0.78 150263128 180083688       184    197000  13991228      8368      4468    301312
02:27:12 PM  49251388 389373904   1436656      0.36   4007576 326172308   3152856      0.78 150263128 180085944        40    197088  13991212      8368      4468    301312
02:27:17 PM  49248684 389372884   1437632      0.36   4007576 326173956   3153000      0.78 150263128 180087672       172    197184  13991292      8384      4468    301344
02:27:22 PM  49246224 389372624   1437940      0.36   4007576 326176060   3153000      0.78 150263128 180089928        40    197320  13991340      8384      4468    301360
02:27:27 PM  49237816 389366004   1444564      0.37   4007576 326177780   3153256      0.78 150263128 180091740        28    197424  13991404      8400      4472    301344
02:27:32 PM  49235132 389365600   1444984      0.37   4007576 326179964   3153256      0.78 150263128 180094072         4    197572  13991484      8400      4472    301328
02:27:37 PM  49233732 389365728   1444824      0.37   4007576 326181428   3153388      0.78 150263128 180095648         4    197672  13991580      8400      4472    301312
02:27:42 PM  49230516 389364172   1446388      0.37   4007576 326183032   3153644      0.78 150263128 180097332        32    197772  13991628      8400      4476    301360
02:27:47 PM  48843520 388862160   1938200      0.49   4006840 326068676  91438212     22.68 150236824 180637304       772    826856  14001904      9248     23828    301984
02:27:52 PM  48636084 388443568   2357624      0.60   4006840 325857288 192892696     47.83 150237596 180918660      7028   1321068  14001304      9424     33944    302048
02:27:57 PM  48565112 388329356   2471900      0.63   4006840 325814056 192621952     47.77 150237624 180889932       584   1333688  14001232      9456     33988    302088
02:28:02 PM  48570240 388313204   2488412      0.63   4006840 325792776 193130172     47.89 150237624 180861544      1036   1326968  14000872      9456     34016    302088
02:28:07 PM  48543760 388287264   2514552      0.64   4006840 325793316 192955732     47.85 150237620 180864332       724   1330288  14000672      9424     33840    302080
02:28:12 PM  48558220 388281744   2520024      0.64   4006840 325773352 188926276     46.85 150237636 180822440      1516   1308448  14000704      9424     34076    302112
