Linux 5.15.0-91-generic (gl5) 	01/24/2024 	_x86_64_	(32 CPU)

01:09:40 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
01:20:50 PM 339944924 389055308   2760616      0.70   1471156  48249684 174477536     43.27  21683636  29774224       752   1765580   2432168     10704     34952    275140
01:20:55 PM 339935048 389045924   2769948      0.70   1471156  48250208 174484148     43.27  21683672  29775956      1648   1767140   2432188     10720     34984    275092
01:21:00 PM 339870228 388981532   2834584      0.72   1471156  48250624 174480944     43.27  21683744  29776188       940   1766748   2431956     10688     34952    275060
01:21:05 PM 339869368 388980816   2835248      0.72   1471156  48250764 171606776     42.56  21683900  29750068      2020   1740724   2432012     10720     34700    275092
01:21:10 PM 339842160 388954236   2861480      0.72   1471156  48251424 174426960     43.26  21683988  29748676      1804   1739052   2432328     10720     34884    275044
01:21:15 PM 339833120 388945724   2870228      0.73   1471156  48251880 174387260     43.25  21684112  29727360      1724   1717320   2432164     10736     34500    275108
01:21:20 PM 339817248 388930220   2885644      0.73   1471156  48252360 174351724     43.24  21684292  29715124      1824   1704348   2432140     10752     34712    275124
01:21:25 PM 339847520 388961188   2854656      0.72   1471156  48252912 171525416     42.54  21684348  29694188      2940   1682932   2432304     10736     34220    275140
01:21:30 PM 339854920 388968784   2847000      0.72   1471156  48253276 171484620     42.53  21684500  29690276      2900   1679328   2432196     10752     34356    275188
01:21:35 PM 339798140 388912300   2903244      0.74   1471156  48253564 174399496     43.25  21684672  29724480      1488   1713588   2432444     10720     34576    275172
01:21:40 PM 339872428 388986880   2828376      0.72   1471156  48253836 171478064     42.52  21684708  29671716      1096   1660312   2432752     10736     34284    275108
01:21:45 PM 339838964 388953852   2861552      0.72   1471160  48254272 174329108     43.23  21684760  29703500      1092   1691816   2432600     10736     34672    275124
01:21:50 PM 339867752 388982944   2832596      0.72   1471164  48254580 174342396     43.23  21684784  29713024       488   1700900   2432456     10704     34624    275076
01:21:55 PM 339840372 388955984   2859684      0.72   1471164  48255048 174443044     43.26  21684804  29751024      1168   1738276   2432280     10688     34384    275060
01:22:00 PM 339913172 389029112   2786832      0.71   1471164  48255380 174393804     43.25  21684816  29737200       492   1724332   2432000     10736     34764    275124
01:22:05 PM 339932064 389048332   2766640      0.70   1471164  48255696 174401936     43.25  21684816  29744344       304   1731180   2432984     10880     35276    275124
01:22:10 PM 339955532 389071920   2743876      0.69   1471164  48256024 174438276     43.26  21684824  29757232       288   1743804   2431952     10752     34840    275172
01:22:15 PM 339969240 389086000   2729768      0.69   1471164  48256380 174438516     43.26  21684864  29757044       424   1743104   2431996     10752     34852    275124
01:22:20 PM 339933532 389050720   2764912      0.70   1471168  48256844 174452700     43.26  21684868  29766204      1340   1751984   2432092     10752     34896    275108
01:22:25 PM 339930216 389048040   2767840      0.70   1471172  48257444 174465748     43.27  21684872  29775840       732   1760840   2431876     10752     34920    275124
01:22:30 PM 339883368 389001328   2814220      0.71   1471176  48257564 174449308     43.26  21684980  29765732      1396   1750844   2432220     10752     34852    275092
01:22:35 PM 339892540 389010960   2804380      0.71   1471176  48257916 174456104     43.26  21685028  29769056       640   1753688   2432536     10752     34912    275044
01:22:40 PM 339894668 389013744   2801540      0.71   1471176  48258548 171582812     42.55  21685176  29727408      1824   1711672   2432616     10736     34364    275060
01:22:45 PM 339810068 388929468   2886052      0.73   1471176  48258848 174423376     43.25  21685252  29755428       604   1738952   2432404     10736     34836    275124
01:22:50 PM 339798832 388918636   2896520      0.73   1471184  48259268 174410224     43.25  21685360  29744300      1944   1728096   2432744     10752     34784    275204
01:22:55 PM 339838568 388958776   2856684      0.72   1471184  48259608 174399084     43.25  21685420  29743456       512   1726828   2432504     10736     34756    275252
01:23:00 PM 339819940 388940796   2874992      0.73   1471184  48260240 174370156     43.24  21685520  29733684      1400   1716576   2432192     10784     34724    275268
01:23:05 PM 339792396 388913496   2902652      0.74   1471184  48260544 174304248     43.23  21685764  29706652       740   1689404   2431772     10768     34492    275220
01:23:10 PM 339791408 388912836   2903580      0.74   1471184  48260900 171568032     42.55  21685860  29723644      2160   1705908   2431476     10784     34384    275156
01:23:15 PM 339809836 388931796   2884444      0.73   1471188  48261356 174326224     43.23  21685936  29709480       632   1691268   2431724     10816     34688    275124
01:23:20 PM 339797076 388919372   2896624      0.73   1471188  48261720 174335472     43.23  21685980  29709884      1012   1691796   2431940     10784     34680    275172
01:23:25 PM 339802664 388925420   2890636      0.73   1471192  48262148 174353564     43.24  21686012  29721948       364   1703192   2431908     10800     34736    275156
01:23:30 PM 339785380 388908412   2907348      0.74   1471196  48262460 174454960     43.26  21686008  29759640       988   1740568   2432164     10768     34664    275252
01:23:35 PM 339815300 388938712   2877316      0.73   1471196  48262804 174378380     43.24  21686048  29738516       328   1719208   2431932     10800     34780    275268
01:23:40 PM 339879652 389003468   2812516      0.71   1471196  48263292 174420812     43.25  21686032  29755776       964   1736300   2431892     10896     34688    275236
01:23:45 PM 339857524 388981744   2834248      0.72   1471200  48263620 174528696     43.28  21686048  29796072       112   1775676   2431956     10800     34780    275236
01:23:50 PM 339873760 388998200   2817232      0.71   1471204  48263948 174466016     43.27  21686048  29776796       228   1756440   2432404     10928     34632    275204
01:23:55 PM 339870308 388995240   2820336      0.71   1471208  48264332 174472112     43.27  21686088  29778812        96   1757808   2432364     10832     34884    275252
01:24:00 PM 339837188 388962440   2852776      0.72   1471208  48264804 174559880     43.29  21686128  29810836       348   1789768   2432572     10816     34852    275348
01:24:05 PM 339832200 388958080   2857168      0.72   1471212  48265224 174464392     43.26  21686172  29780644      1776   1758824   2432744     10832     34868    275332
01:24:10 PM 339817704 388943696   2871260      0.73   1471212  48265492 174456612     43.26  21686256  29776420       352   1754612   2432880     10880     34952    275316
01:24:15 PM 339801520 388928200   2886684      0.73   1471212  48266004 174415184     43.25  21686432  29757728      2112   1735588   2433128     10848     34784    275268
01:24:20 PM 339766112 388892928   2921996      0.74   1471212  48266248 171608932     42.56  21686436  29755892       184   1734188   2432980     10832     34556    275284
01:24:25 PM 339773300 388900692   2913868      0.74   1471212  48266800 174405352     43.25  21686604  29755156      1476   1732272   2433368     10848     34824    275252
01:24:30 PM 339767888 388895496   2919084      0.74   1471216  48267240 164886196     40.89  21686680  29699316       976   1675900   2433120     10752     33212    275284
01:24:35 PM 339794160 388922112   2892688      0.73   1471224  48267520 168527472     41.79  21686736  29709500      1580   1686176   2432956     10816     33856    275300
01:24:40 PM 339782436 388910640   2904300      0.74   1471224  48267820 168590056     41.81  21686852  29728540      1000   1704816   2432768     10752     33704    275316
01:24:45 PM 339840484 388969132   2846268      0.72   1471224  48268172 168482396     41.78  21686964  29689276      1696   1665784   2432400     10784     33764    275268
01:24:50 PM 339838224 388967088   2848724      0.72   1471228  48268384 165623808     41.07  21687068  29659000       828   1635328   2431988     10800     33296    275172
01:24:55 PM 339794540 388923848   2891900      0.73   1471232  48268920 168470388     41.78  21687172  29680984      2060   1657336   2431956     10752     33656    275188
01:25:00 PM 339818188 388947724   2868004      0.73   1471236  48269180 168484472     41.78  21687192  29690752       484   1666036   2431940     10752     33700    275172
01:25:05 PM 339821472 388951444   2864064      0.73   1471236  48269612 168498148     41.79  21687200  29697912      1156   1673236   2432164     10720     33696    275204
01:25:10 PM 339884936 389015268   2800436      0.71   1471236  48269936 168521656     41.79  21687220  29711936       536   1686976   2432004     10736     33768    275108
01:25:15 PM 339915732 389046360   2769176      0.70   1471236  48270328 168537532     41.80  21687212  29719804      1268   1694392   2432076     10752     33772    275092
01:25:20 PM 339953232 389084140   2731548      0.69   1471236  48270560 165719128     41.10  21687228  29718424       488   1692868   2431972     10768     33552    275076
01:25:25 PM 339910580 389042076   2773716      0.70   1471240  48271176 168658492     41.83  21687268  29763708      1116   1737496   2431836     10752     33648    275108
01:25:30 PM 339948320 389080176   2736048      0.69   1471240  48271456 168555600     41.80  21687332  29727480       492   1700924   2431484     10768     33680    275156
01:25:35 PM 339933348 389065768   2750324      0.70   1471244  48272064 164848720     40.88  21687388  29695920       780   1668828   2431568     10912     33324    275156
01:25:40 PM 339853592 388986492   2829752      0.72   1471252  48272464 165871828     41.13  21687504  29756808       776   1729308   2431488     10752     33184    275204
01:25:45 PM 339877992 389010816   2805348      0.71   1471260  48272560 168550552     41.80  21687592  29722440      1432   1695244   2431388     10768     33844    275156
01:25:50 PM 339841432 388974768   2841684      0.72   1471260  48272856 168655852     41.82  21687596  29761084      1020   1733332   2431316     10768     33884    275204
01:25:55 PM 339862300 388995924   2820664      0.71   1471260  48273204 168555300     41.80  21687668  29728324       800   1700428   2431120     10736     33668    275172
01:26:00 PM 339900436 389035100   2781444      0.70   1471260  48274096 161109624     39.95  21687720  29653600      1472   1624836   2431312     10800     32624    275236
