Linux 5.15.0-91-generic (gl5) 	01/19/2024 	_x86_64_	(32 CPU)

01:58:26 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
02:07:16 PM 382820916 390433376   1526076      0.39   1224252   7929784   4176272      1.04   4100304   5597780       376    572340   1357520      9552      5464    267376
02:07:21 PM 382811212 390425776   1533656      0.39   1224264   7931632   4176272      1.04   4100324   5599760      1024    572488   1357784      9600      5560    267376
02:07:26 PM 382809560 390426080   1533236      0.39   1224272   7933488   4176528      1.04   4100320   5601636       380    572492   1357992      9584      5496    267360
02:07:31 PM 382798436 390417260   1542036      0.39   1224280   7935556   4176660      1.04   4100344   5603912      1028    572704   1358240      9600      5496    267392
02:07:36 PM 382795924 390417036   1542320      0.39   1224280   7937696   4176660      1.04   4100344   5606176       272    572872   1358328      9632      5528    267376
02:07:41 PM 382790528 390413960   1545320      0.39   1224280   7939836   4176916      1.04   4100344   5608344      1048    572952   1358584      9632      5544    267376
02:07:46 PM 382787772 390413348   1546184      0.39   1224284   7941844   4177048      1.04   4100348   5610592       240    573080   1358464      9568      5480    267344
02:07:51 PM 382793512 390421484   1537988      0.39   1224296   7944060   4177304      1.04   4100364   5612936      1048    573248   1358692      9616      5540    267376
02:07:56 PM 382793516 390423308   1536232      0.39   1224304   7945744   4177440      1.04   4100372   5615304       288    573500   1358752      9584      5516    267360
02:08:01 PM 382788472 390420380   1539236      0.39   1224312   7947632   4177440      1.04   4100384   5616796      1048    573476   1358896      9600      5512    267360
02:08:06 PM 382786464 390420564   1539028      0.39   1224312   7949720   4177696      1.04   4100384   5618940       284    573604   1359024      9584      5516    267296
02:08:11 PM 382775988 390412308   1547256      0.39   1224316   7951696   4177696      1.04   4100380   5621032       908    573648   1359292      9600      5516    267360
02:08:16 PM 382774256 390412624   1547012      0.39   1224320   7953632   4177828      1.04   4100392   5623124       180    573868   1359328      9584      5516    267312
02:08:21 PM 382766036 390406664   1553024      0.39   1224320   7955740   4178084      1.04   4100388   5625228       756    573848   1359428      9616      5580    267392
02:08:26 PM 382763068 390405704   1553968      0.39   1224324   7957632   4178084      1.04   4100396   5627260       172    573988   1359556      9568      5452    267344
02:08:31 PM 382756388 390401116   1558496      0.39   1224328   7959632   4178216      1.04   4100388   5628976       556    573504   1359704     10048      5632    267360
02:08:36 PM 382768632 390415420   1544200      0.39   1224336   7961528   4178472      1.04   4100408   5631504       160    574368   1359852      9584      5484    267344
02:08:41 PM 382767096 390416016   1543464      0.39   1224340   7963564   4177688      1.04   4100408   5633664       408    574504   1360084      9616      5516    267296
02:08:46 PM 382772348 390423684   1535956      0.39   1224352   7965728   4178472      1.04   4100424   5636000      1220    574644   1360164      9616      5512    267312
02:08:51 PM 382771172 390424636   1535028      0.39   1224356   7967756   4178860      1.04   4100424   5638156       292    574784   1360236      9616      5516    267328
02:08:56 PM 382763016 390418704   1540856      0.39   1224360   7969752   4179012      1.04   4100440   5640240      1208    574832   1360564      9632      5484    267296
02:09:01 PM 382761404 390419252   1540424      0.39   1224364   7971772   4179012      1.04   4100444   5642380       264    575004   1360584      9600      5456    267312
02:09:06 PM 382750460 390410712   1548684      0.39   1224368   7974032   4179268      1.04   4100456   5644788      1208    575148   1361004      9648      5560    267344
02:09:11 PM 382747952 390410300   1549124      0.39   1224372   7975996   4179268      1.04   4100456   5646804       272    575204   1361104      9648      5524    267392
02:09:16 PM 382750584 390415204   1544144      0.39   1224376   7978064   4179268      1.04   4100464   5649108      1344    575424   1361380      9648      5516    267424
02:09:21 PM 382747908 390414676   1544664      0.39   1224376   7980088   4179656      1.04   4100468   5651200       284    575532   1361512      9600      5452    267408
02:09:26 PM 382743616 390412528   1546516      0.39   1224380   7982080   4179656      1.04   4100472   5653412      1264    575708   1361956      9664      5556    267440
02:09:31 PM 382742012 390413128   1546000      0.39   1224388   7984136   4179912      1.04   4100472   5655620       268    575868   1362012      9696      5584    267424
02:09:36 PM 382738652 390411948   1547548      0.39   1224392   7986112   4180044      1.04   4100488   5657724      1188    575976   1361844      9664      5556    267408
02:09:41 PM 382751760 390427156   1532280      0.39   1224396   7988084   4180044      1.04   4100496   5659812       252    576092   1362028      9632      5532    267344
02:09:46 PM 382750120 390427708   1531540      0.39   1224396   7990084   4180300      1.04   4100488   5661672      1204    575896   1362408      9616      5408    267440
02:09:51 PM 382748544 390428132   1531228      0.39   1224396   7991992   4180300      1.04   4100496   5663948       268    576360   1362388      9664      5520    267456
02:09:56 PM 382736376 390418096   1541156      0.39   1224400   7993928   4180432      1.04   4100504   5666036      1060    576508   1362688      9664      5524    267488
02:10:01 PM 382733720 390417660   1541604      0.39   1224400   7996016   4180688      1.04   4100504   5668284       412    576688   1362808      9664      5528    267440
02:10:06 PM 382740484 390426620   1532508      0.39   1224404   7998004   4180688      1.04   4100504   5671088      1060    577640   1363148      9840      5708    267440
02:10:11 PM 382738932 390427252   1531880      0.39   1224412   8000084   4180820      1.04   4100508   5672540       168    576940   1363240      9664      5524    267424
02:10:16 PM 382742896 390433616   1525296      0.39   1224416   8002324   4181076      1.04   4100508   5674572      1012    576548   1363616      9936      5596    267376
02:10:21 PM 382740892 390433408   1525476      0.39   1224424   8004024   4181076      1.04   4100528   5676668        24    577116   1363732      9664      5524    267344
02:10:26 PM 382739020 390433596   1525328      0.39   1224428   8005908   4180436      1.04   4100536   5678640       228    577120   1363864      9648      5492    267296
02:10:31 PM 382732684 390429484   1529592      0.39   1224440   8007968   4181476      1.04   4100540   5680808         8    577260   1363864      9664      5488    267344
02:10:36 PM 382730872 390429956   1528972      0.39   1224444   8010088   4181476      1.04   4100556   5683208       404    577520   1364172      9680      5532    267328
02:10:41 PM 382733836 390435216   1523752      0.39   1224452   8012192   4181608      1.04   4100556   5685416      1236    577664   1364316      9680      5560    267408
