Linux 5.15.30-2-pve (superserver2) 	02/01/2024 	_x86_64_	(32 CPU)

01:36:51 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
01:47:46 AM 294324360 389079804   2502344      0.63    858620  93618352   6629664      1.64  65714568  29641552        60   1045168   3570108      9680     10180    863116
01:47:51 AM 294322632 389080044   2502080      0.63    858620  93620200   6627128      1.64  65714568  29642952       304   1044704   3570252      9664     10132    863108
01:47:56 AM 294320708 389080036   2501752      0.63    858620  93621992   6629796      1.64  65714564  29645584        36   1045564   3570712      9680     10188    863116
01:48:01 AM 294318320 389078888   2502792      0.63    858620  93623148   6630084      1.64  65714572  29647520       296   1046348   3570904      9696     10244    863132
01:48:06 AM 294315864 389077944   2503844      0.63    858620  93624552   6627516      1.64  65714560  29647568        76   1044948   3570904      9664     10128    863076
01:48:11 AM 294314160 389077968   2503792      0.63    858620  93626180   6627516      1.64  65714560  29649252       332   1045032   3571032      9680     10136    863076
01:48:16 AM 294315992 389081460   2500104      0.63    858620  93627724   6627516      1.64  65714568  29650892        76   1045112   3571344      9680     10128    863044
01:48:21 AM 294314020 389081300   2500240      0.63    858620  93629436   6627648      1.64  65714572  29652700        96   1045212   3571468      9680     10128    863060
01:48:26 AM 294313572 389082484   2499240      0.63    858620  93630952   6627648      1.64  65714572  29654380       112   1045348   3571400      9632     10372    863076
01:48:31 AM 294312264 389082764   2498928      0.63    858620  93632440   6628056      1.64  65714572  29655908       188   1045416   3571532      9680     10132    863092
01:48:36 AM 294310376 389082168   2499196      0.63    858620  93633648   6640008      1.65  65714576  29660308       108   1048604   3571944      9680     10648    863092
01:48:41 AM 294311672 389085152   2496316      0.63    858620  93635228   6628056      1.64  65714572  29658848        96   1045576   3571948      9680     10132    863108
01:48:46 AM 294311208 389086260   2494796      0.63    858620  93636720   6628056      1.64  65714576  29660568        36   1045824   3572440      9744     10144    863108
01:48:51 AM 294311292 389087764   2493764      0.63    858620  93638040   6628312      1.64  65714572  29661844        96   1045752   3572068      9680     10136    863124
01:48:56 AM 294307392 389085692   2495860      0.63    858620  93639748   6631136      1.64  65714572  29665104       220   1047380   3572164      9744     10260    863132
01:49:01 AM 294303776 389083960   2497896      0.63    858620  93641488   6634092      1.65  65714576  29668416       240   1048956   3572004      9744     10360    863172
01:49:06 AM 294301872 389083756   2498200      0.63    858620  93643092   6628444      1.64  65714564  29667168       396   1046016   3572000      9632     10132    863108
01:49:11 AM 294300936 389084356   2497420      0.63    858620  93644552   6628700      1.64  65714572  29668788       356   1046184   3572256      9680     10140    863108
01:49:16 AM 294299732 389085004   2496604      0.63    858620  93646264   6628700      1.64  65714568  29670612        72   1046300   3572564      9680     10140    863076
01:49:21 AM 294298760 389085740   2495884      0.63    858620  93647860   6628832      1.64  65714572  29672324       188   1046408   3572660      9680     10144    863092
01:49:26 AM 294298844 389087608   2494092      0.63    858620  93649544   6629088      1.64  65714580  29674536       100   1046804   3572684      9664     10408    863076
01:49:31 AM 294297656 389088084   2493684      0.63    858620  93651092   6629088      1.64  65714572  29675764        96   1046616   3572732      9680     10144    863092
01:49:36 AM 294295484 389087500   2494056      0.63    858620  93652576   6641144      1.65  65714576  29681080       100   1050452   3573048      9664     10184    863092
01:49:41 AM 294295092 389089044   2492196      0.63    858620  93654404   6629476      1.64  65714572  29679340        84   1046884   3573472      9680     10140    863092
01:49:46 AM 294294016 389089732   2492040      0.63    858620  93656064   6629476      1.64  65714572  29681044        36   1046968   3573044      9648     10136    863076
01:49:51 AM 294292312 389089684   2491880      0.63    858620  93657604   6629476      1.64  65714572  29682792       200   1047132   3573368      9680     10140    863076
