Linux 5.15.0-87-generic (gl6) 	01/31/2024 	_x86_64_	(32 CPU)

01:36:43 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
01:44:28 AM  53663720 389284176   1435688      0.36   4040916 321800692   3144564      0.78 146969380 179033436       176    189132  13918124      8384      4312    330524
01:44:33 AM  53662828 389284836   1435016      0.36   4040916 321802208   3144976      0.78 146969380 179035076        48    189224  13918172      8384      4312    330508
01:44:38 AM  53661364 389284920   1434952      0.36   4040916 321803704   3144976      0.78 146969380 179036600       192    189284  13918204      8384      4308    330492
01:44:43 AM  53660632 389285584   1434220      0.36   4040916 321805056   3149196      0.78 146969380 179040192       196    191556  13918316      8416      4428    330516
01:44:48 AM  53659416 389285776   1434220      0.36   4040916 321806408   3149196      0.78 146969388 179041576       296    191624  13918180      8416      4428    330516
01:44:53 AM  53659264 389286936   1433136      0.36   4040916 321807676   3149196      0.78 146969388 179042944       228    191688  13918148      8400      4428    330500
01:44:58 AM  53658188 389287300   1432668      0.36   4040916 321809060   3149456      0.78 146969388 179043932       212    191272  13918308      8400      4424    330516
01:45:03 AM  53657248 389287896   1432200      0.36   4040916 321810564   3149584      0.78 146969380 179045648         4    191516  13918212      8384      4360    330564
01:45:08 AM  53655568 389287680   1432660      0.36   4040916 321811972   3149584      0.78 146969384 179047452         0    191936  13918024      8400      4432    330564
01:45:13 AM  53653968 389287596   1432748      0.36   4040916 321813412   3149584      0.78 146969384 179049008        16    192016  13918096      8400      4420    330564
01:45:18 AM  53652948 389288092   1432292      0.36   4040916 321814904   3149584      0.78 146969384 179050556       344    192092  13918080      8400      4424    330548
01:45:23 AM  53651744 389288344   1432076      0.36   4040916 321816292   3149972      0.78 146969384 179052120       232    192248  13918112      8416      4484    330548
01:45:28 AM  53649328 389287536   1432756      0.36   4040916 321817852   3149972      0.78 146969384 179053624       376    192244  13918288      8400      4432    330564
01:45:33 AM  53645416 389284968   1435552      0.36   4040916 321819144   3149972      0.78 146969384 179055032       200    192316  13918112      8400      4424    330564
01:45:38 AM  53642740 389283956   1436692      0.36   4040916 321820748   3149656      0.78 146969380 179055876       292    191540  13918044      8384      4368    330532
01:45:43 AM  53640340 389283092   1437708      0.36   4040916 321822180   3145884      0.78 146969384 179056100       168    190276  13917996      8368      4308    330508
01:45:48 AM  53638128 389282540   1438088      0.36   4040916 321823788   3146140      0.78 146969384 179057772       172    190376  13918220      8368      4312    330524
01:45:53 AM  53636696 389282472   1438180      0.36   4040916 321825144   3146140      0.78 146969384 179059224        12    190440  13918204      8368      4312    330492
01:45:58 AM  53635520 389282568   1438084      0.36   4040916 321826352   3146140      0.78 146969384 179060492        16    190512  13918268      8368      4312    330444
01:46:03 AM  53635080 389283372   1437284      0.36   4040916 321827560   3146140      0.78 146969384 179061752        32    190548  13918300      8368      4312    330444
01:46:08 AM  53634396 389284044   1436588      0.36   4040916 321828860   3146272      0.78 146969384 179063080       172    190596  13918380      8368      4316    330444
01:46:13 AM  53632948 389283924   1436680      0.36   4040916 321830152   3146272      0.78 146969384 179064468        40    190676  13918444      8368      4312    330444
01:46:18 AM  53631996 389284188   1436416      0.36   4040916 321831304   3146272      0.78 146969388 179065660       164    190736  13918508      8368      4312    330460
01:46:23 AM  53632084 389285408   1435224      0.36   4040916 321832408   3146272      0.78 146969392 179066832        16    190800  13918508      8368      4316    330444
01:46:28 AM  53631136 389285760   1434812      0.36   4040916 321833648   3146528      0.78 146969392 179068128       172    190864  13918628      8368      4320    330460
01:46:33 AM  53644896 389300740   1420000      0.36   4040916 321834860   3146660      0.78 146969392 179069432        48    190940  13918468      8368      4320    330460
01:46:38 AM  53645460 389302152   1418696      0.36   4040916 321835680   3146660      0.78 146969392 179070084       148    190796  13918388      8384      4316    330492
01:46:43 AM  53643288 389301544   1419184      0.36   4040916 321837172   3146660      0.78 146969392 179071680        32    190872  13918580      8384      4320    330492
01:46:48 AM  53642832 389302500   1418368      0.36   4040916 321838524   3146660      0.78 146969392 179073112       176    190956  13918500      8368      4320    330508
01:46:53 AM  53641068 389302012   1418712      0.36   4040916 321839736   3146660      0.78 146969400 179074360        56    191008  13918708      8368      4316    330492
01:46:58 AM  53640608 389302848   1417904      0.36   4040916 321841004   3147048      0.78 146969400 179075688       176    191084  13918708      8368      4320    330492
01:47:03 AM  53638924 389302688   1417940      0.36   4040916 321842492   3147048      0.78 146969400 179077276        16    191160  13918868      8368      4320    330476
01:47:08 AM  53638360 389303620   1417100      0.36   4040916 321843928   3147048      0.78 146969400 179078780         4    191240  13918836      8368      4316    330492
01:47:13 AM  53636960 389303660   1417060      0.36   4040916 321845304   3147048      0.78 146969400 179080232        20    191320  13918900      8368      4316    330476
01:47:18 AM  53636124 389304184   1416520      0.36   4040916 321846632   3147180      0.78 146969400 179081632       156    191392  13918948      8368      4320    330492
01:47:23 AM  53634228 389303788   1416872      0.36   4040916 321848064   3147436      0.78 146969400 179083168        36    191480  13919060      8368      4320    330476
01:47:28 AM  53633196 389304232   1416636      0.36   4040916 321849476   3147436      0.78 146969400 179084656       160    191576  13918916      8368      4312    330476
01:47:33 AM  53630264 389302800   1417784      0.36   4040916 321850908   3147436      0.78 146969400 179086180         4    191652  13919268      8368      4316    330476
01:47:38 AM  53629056 389303028   1417676      0.36   4040916 321852320   3147436      0.78 146969400 179087656         0    191736  13919172      8368      4320    330444
01:47:43 AM  53627844 389303280   1417404      0.36   4040916 321853724   3147568      0.78 146969400 179089120        44    191804  13919252      8368      4320    330444
01:47:48 AM  53627144 389304000   1416676      0.36   4040916 321855104   3147824      0.78 146969400 179090588       184    191884  13919300      8368      4316    330444
01:47:53 AM  53626440 389304396   1416216      0.36   4040916 321856140   3147824      0.78 146969400 179091672        40    191928  13919428      8368      4316    330444
01:47:58 AM  53624464 389303948   1416728      0.36   4040916 321857636   3147824      0.78 146969400 179093220       192    191980  13919396      8368      4316    330444
01:48:03 AM  53622516 389303524   1417260      0.36   4040916 321859100   3147956      0.78 146969400 179094780        52    192080  13919348      8352      4316    330444
01:48:08 AM  53620812 389303412   1417156      0.36   4040916 321860620   3147956      0.78 146969400 179096380        16    192140  13919636      8368      4316    330412
01:48:13 AM  53619028 389303092   1417516      0.36   4040916 321862028   3147956      0.78 146969400 179097860        32    192220  13919652      8368      4320    330428
01:48:18 AM  53617060 389302624   1418068      0.36   4040916 321863460   3148212      0.78 146969400 179099376       176    192300  13919636      8368      4320    330444
01:48:23 AM  53615888 389302972   1417700      0.36   4040916 321864952   3148212      0.78 146969400 179100956        44    192404  13919684      8368      4316    330444
01:48:28 AM  53614352 389302520   1418176      0.36   4040916 321865996   3148344      0.78 146969400 179102080       160    192464  13919700      8368      4320    330460
01:48:33 AM  53612380 389302124   1418580      0.36   4040916 321867516   3148344      0.78 146969400 179103676        12    192560  13919748      8384      4316    330460
01:48:38 AM  53611436 389302572   1418092      0.36   4040916 321868868   3148344      0.78 146969400 179105200         0    192728  13919828      8384      4324    330460
01:48:43 AM  53609464 389302124   1418568      0.36   4040916 321870332   3148600      0.78 146969400 179106772        28    192824  13919860      8384      4320    330492
01:48:48 AM  53607192 389301296   1419396      0.36   4040916 321871712   3148732      0.78 146969400 179108244       168    192916  13919924      8384      4320    330524
01:48:53 AM  53606176 389301748   1419104      0.36   4040916 321873148   3148732      0.78 146969400 179109760         8    193008  13919796      8384      4320    330524
01:48:58 AM  53604476 389301496   1419196      0.36   4040916 321874500   3148732      0.78 146969400 179111220       176    193108  13920052      8384      4316    330508
01:49:03 AM  53603292 389301776   1418912      0.36   4040916 321875936   3148988      0.78 146969400 179112736        20    193192  13920084      8384      4316    330508
01:49:08 AM  53601368 389301272   1419292      0.36   4040916 321877288   3148988      0.78 146969400 179114168       152    193280  13920276      8384      4320    330508
