Linux 5.15.0-87-generic (gl6) 	01/31/2024 	_x86_64_	(32 CPU)

01:08:15 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
01:18:30 AM  52752640 388135952   2577252      0.65   4040916 321570936 173414628     43.00 146914312 180032336       328   1363468  13917396      9312     33064    331204
01:18:35 AM  52769296 388153372   2559944      0.65   4040916 321571448 166828288     41.37 146914384 179977892       200   1308240  13917536      9248     31644    331172
01:18:40 AM  52676608 388060604   2653196      0.67   4040916 321571436 167623136     41.57 146914664 179971676      1380   1302484  13916984      9328     31960    331140
01:18:45 AM  52688764 388073620   2640748      0.67   4040916 321572196 165788660     41.11 146914964 179882032      2652   1212296  13916516      9296     31488    331124
01:18:50 AM  52629140 388014224   2699988      0.68   4040916 321572432 170372692     42.25 146915128 179924508        20   1255004  13916664      9328     32352    331124
01:18:55 AM  52638024 388023284   2690892      0.68   4040916 321572544 173202812     42.95 146915384 179944828      1080   1275028  13916764      9328     32244    331108
01:19:00 AM  52605204 387990736   2723384      0.69   4040916 321572872 173157832     42.94 146915388 179925324       532   1255636  13916764      9360     32600    331156
01:19:05 AM  52645412 388031244   2682964      0.68   4040916 321573180 173172480     42.94 146915436 179936964       472   1266912  13916668      9328     32624    331140
01:19:10 AM  52687180 388073328   2640876      0.67   4040916 321573496 173197692     42.95 146915436 179948600       464   1278888  13916672      9328     32600    331172
01:19:15 AM  52694184 388080704   2633508      0.67   4040916 321573860 173202368     42.95 146915472 179956096       480   1285240  13916672      9328     32620    331140
01:19:20 AM  52742460 388129264   2584932      0.65   4040916 321574192 173238532     42.96 146915472 179970828       444   1299892  13916640      9328     32688    331124
01:19:25 AM  52758236 388145420   2568972      0.65   4040916 321574488 173253444     42.96 146915472 179978968       380   1307220  13916528      9328     32712    331092
01:19:30 AM  52698000 388085348   2628960      0.67   4040916 321574768 173445388     43.01 146915472 180035428       520   1363904  13916496      9328     32748    331108
01:19:35 AM  52714892 388102648   2611776      0.66   4040916 321575060 173302480     42.98 146915472 180002496       372   1330012  13916496      9328     32816    331092
01:19:40 AM  52727112 388115000   2599256      0.66   4040916 321575360 173315312     42.98 146915472 180009372       544   1337248  13916496      9328     32844    331108
01:19:45 AM  52741888 388130196   2584268      0.65   4040916 321575668 173319672     42.98 146915476 180013500       404   1340632  13916400      9328     32848    331092
01:19:50 AM  52688868 388076920   2636916      0.67   4040916 321576040 173523344     43.03 146915476 180077464       608   1404536  13916400      9328     32908    331108
01:19:55 AM  52758336 388147264   2567312      0.65   4040916 321576432 173359984     42.99 146915512 180031660       548   1358280  13916144      9328     32952    331076
01:20:00 AM  52773204 388163116   2551744      0.65   4040916 321577360 166807592     41.37 146915548 179972696       592   1298412  13915916      9312     32152    331028
01:20:05 AM  52763336 388153008   2561268      0.65   4040916 321577224 164028996     40.68 146915640 179959568       596   1285492  13916396      9312     31948    331028
01:20:10 AM  52652700 388043104   2670804      0.68   4040916 321577876 173323084     42.98 146915804 180011664      1428   1337380  13916844      9328     32836    331044
01:20:15 AM  52616032 388006380   2707492      0.69   4040916 321577844 170553992     42.30 146915872 180023884       452   1348972  13916856      9328     32504    331044
01:20:20 AM  52646256 388037512   2676744      0.68   4040916 321578608 173266044     42.97 146915984 179984524       556   1309380  13916616      9312     31988    331060
01:20:25 AM  52624424 388015796   2698600      0.68   4040916 321578712 167565232     41.55 146916108 179952716       488   1277708  13916488      9312     31664    331092
01:20:30 AM  52614212 388006044   2707812      0.69   4040916 321578992 173346760     42.99 146916404 180004744      1796   1329780  13917208      9328     32372    331092
01:20:35 AM  52665288 388057424   2656860      0.67   4040916 321579292 173179480     42.95 146916480 179942964       524   1267908  13916784      9328     32560    331092
01:20:40 AM  52675092 388067468   2646828      0.67   4040916 321579528 173171120     42.94 146916572 179941232       368   1266140  13916776      9328     32388    331124
01:20:45 AM  52631812 388024468   2689840      0.68   4040916 321579812 173285880     42.97 146916576 179984428       232   1309032  13916760      9328     32600    331092
01:20:50 AM  52677496 388070436   2643832      0.67   4040916 321580104 173210108     42.95 146916612 179961000       232   1285396  13916792      9328     32628    331092
01:20:55 AM  52670560 388063792   2650452      0.67   4040916 321580420 173221340     42.96 146916612 179968112       288   1292156  13916792      9328     32640    331092
01:21:00 AM  52638984 388032508   2681720      0.68   4040916 321580728 173320428     42.98 146916632 180005092       392   1328652  13916792      9312     32668    331108
01:21:05 AM  52676956 388070792   2643448      0.67   4040916 321581028 173272932     42.97 146916632 179992752       248   1315572  13916792      9312     32816    331124
01:21:10 AM  52663656 388057800   2656576      0.67   4040916 321581320 173291020     42.97 146916636 180001380       264   1324392  13916672      9312     32768    331124
01:21:15 AM  52668168 388062556   2651740      0.67   4040916 321581628 173332796     42.98 146916636 180017832       224   1340768  13916688      9328     32860    331124
01:21:20 AM  52671920 388066636   2647688      0.67   4040916 321581928 173340620     42.99 146916636 180023384       176   1346000  13916688      9328     32864    331140
01:21:25 AM  52678584 388073484   2640712      0.67   4040916 321582240 173346860     42.99 146916636 180028896       196   1351088  13916688      9328     32892    331140
01:21:30 AM  52686868 388082216   2632116      0.67   4040916 321582552 173364600     42.99 146916636 180037600       356   1358960  13916688      9328     32924    331092
01:21:35 AM  52737364 388133180   2581168      0.65   4040916 321583172 169639464     42.07 146916668 179996540       296   1317616  13916520      9312     32096    331092
01:21:40 AM  52685576 388081604   2632300      0.67   4040916 321583240 173323148     42.98 146916772 180024116       480   1345156  13917108      9328     32536    331060
01:21:45 AM  52644840 388041172   2672748      0.68   4040916 321583592 173327780     42.98 146916852 180023692       176   1344652  13917044      9344     32552    331076
01:21:50 AM  52644308 388041620   2672192      0.68   4040916 321584448 170453912     42.27 146917020 180000232       488   1320096  13917276      9312     32112    331076
01:21:55 AM  52624608 388022056   2691680      0.68   4040916 321584664 169612448     42.06 146917068 179969140       208   1289100  13917272      9328     32280    331060
01:22:00 AM  52640168 388037896   2675552      0.68   4040916 321584832 167563092     41.55 146917236 179941668       292   1261368  13917672      9328     31668    331076
01:22:05 AM  52614504 388012792   2700716      0.68   4040916 321585476 169530140     42.04 146917300 179946972        88   1266476  13917528      9312     32048    331028
01:22:10 AM  52662736 388061400   2652284      0.67   4040916 321585732 166646000     41.33 146917496 179920048      1136   1239160  13917472      9328     31784    331076
01:22:15 AM  52646680 388045484   2668532      0.68   4040916 321585820 170360664     42.25 146917624 179948068      1676   1267684  13917192      9328     32336    331044
01:22:20 AM  52602512 388001636   2712372      0.69   4040916 321586116 173176196     42.95 146917740 179947176        64   1266220  13917224      9328     32420    331076
01:22:25 AM  52649380 388048788   2665196      0.67   4040916 321586424 173202416     42.95 146917744 179960516        52   1279148  13917224      9328     32616    331108
01:22:30 AM  52646360 388046080   2667908      0.68   4040916 321586732 173216672     42.96 146917776 179969292        16   1287716  13917224      9328     32656    331092
01:22:35 AM  52653864 388053804   2660120      0.67   4040916 321587016 173225420     42.96 146917780 179976040       428   1294472  13917224      9328     32676    331124
01:22:40 AM  52658152 388058476   2655480      0.67   4040916 321587336 173253760     42.96 146917792 179989740        12   1307668  13917256      9328     32724    331108
01:22:45 AM  52666040 388066612   2647280      0.67   4040916 321587648 173289848     42.97 146917796 180004236       468   1322212  13917256      9328     32800    331108
01:22:50 AM  52678376 388079352   2634812      0.67   4040916 321587972 173301696     42.98 146917800 180011668       596   1328720  13917064      9312     32824    331092
01:22:55 AM  52656328 388057460   2656564      0.67   4040916 321588264 173414092     43.00 146917800 180052324       432   1369608  13917068      9312     32944    331076
01:23:00 AM  52678332 388079940   2634228      0.67   4040916 321588596 173349480     42.99 146917800 180033940       444   1350264  13917068      9296     32920    331060
01:23:05 AM  52676640 388078372   2635544      0.67   4040916 321588940 173358788     42.99 146917800 180039516       424   1356148  13917100      9296     32932    331044
01:23:10 AM  52657408 388059748   2654084      0.67   4040916 321589260 173344928     42.99 146917872 180036084       692   1351932  13917472      9296     33384    331028
01:23:15 AM  52630736 388033328   2680560      0.68   4040916 321589664 173356724     42.99 146917944 180036604       632   1352540  13917264      9296     32912    331012
01:23:20 AM  52614332 388017412   2696660      0.68   4040916 321590060 173349404     42.99 146918016 180036272       816   1351740  13917172      9296     32944    330964
01:23:25 AM  52578200 387981604   2732640      0.69   4040916 321590388 173343720     42.99 146918084 180030868       620   1346196  13916996      9296     32728    330932
