Linux 5.15.0-91-generic (gl5) 	01/19/2024 	_x86_64_	(32 CPU)

11:34:57 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
11:41:32 AM 383509544 389847100   2114560      0.54   1213268   6709080  94766016     23.50   3667040   5325920      3792   1099284   1312096     10400     19508    268192
11:41:37 AM 383571640 389911108   2051848      0.52   1213276   6710964  88235272     21.88   3667344   5298120      2452   1069868   1310820     10416     18816    267984
11:41:42 AM 383534512 389876644   2085596      0.53   1213284   6713568  93874000     23.28   3667636   5320872      4248   1090296   1311588     10384     19380    268096
11:41:47 AM 383492304 389836564   2125844      0.54   1213288   6715688  97569744     24.20   3667976   5352260      3720   1119384   1311424     10368     19948    268048
11:41:52 AM 383563396 389911116   2052328      0.52   1213296   6719028  81734112     20.27   3668272   5271440      2348   1035964   1310500     10368     17512    267984
11:41:57 AM 383565136 389915020   2047116      0.52   1213304   6721340  86476844     21.45   3668600   5271944      4416   1034572   1311652     10432     18776    268040
11:42:02 AM 383469280 389821184   2140988      0.54   1213308   6723272  97568956     24.20   3668980   5360044      3236   1120156   1311700     10416     19960    267984
11:42:07 AM 383464596 389819556   2142684      0.54   1213316   6726228  97586616     24.20   3669312   5364492      4424   1123136   1311724     10448     20172    268072
11:42:12 AM 383552812 389910544   2052040      0.52   1213316   6728996  91060880     22.58   3669580   5324156      3492   1079564   1311384     10400     18768    267992
11:42:17 AM 383490488 389850124   2111732      0.53   1213324   6730876  97582228     24.20   3669944   5369240      4308   1123192   1312128     10416     20088    268000
11:42:22 AM 383494568 389856708   2106004      0.53   1213328   6733368  94747384     23.50   3670268   5364292      2888   1116536   1311280     10416     19504    268000
11:42:27 AM 383481308 389845960   2116376      0.54   1213336   6735848  97584364     24.20   3670608   5368048      4136   1118268   1311680     10384     20008    268016
11:42:32 AM 383505628 389873356   2088060      0.53   1213340   6738856  94747288     23.50   3670928   5358108      3132   1104648   1312664     10400     19676    267920
11:42:37 AM 383512768 389882732   2079360      0.53   1213348   6740900  94754320     23.50   3671240   5360004      3816   1105596   1312172     10384     19272    267952
11:42:42 AM 383499732 389872008   2090940      0.53   1213356   6743148  94750556     23.50   3671564   5375128      3084   1118544   1311372     10400     19828    267968
11:42:47 AM 383530500 389905880   2055608      0.52   1213364   6746028  88243212     21.88   3671872   5324236      3540   1065420   1313048     10416     18704    268072
11:42:52 AM 383482372 389859860   2102112      0.53   1213376   6748000  97577640     24.20   3672200   5383116      3304   1122708   1312688     10352     20088    267984
11:42:57 AM 383501132 389881872   2080268      0.53   1213384   6750980  91049652     22.58   3672536   5345896      4220   1082168   1312784     10384     19176    267968
