Timestamp,CPU,CPU MHz
2024-01-26T02:19:24,18,800.0
2024-01-26T02:19:24,19,800.0
2024-01-26T02:19:24,20,800.0
2024-01-26T02:19:24,21,800.0
2024-01-26T02:19:24,22,800.0
2024-01-26T02:19:24,23,800.0
2024-01-26T02:19:24,24,800.0
2024-01-26T02:19:24,25,800.0
2024-01-26T02:19:24,26,800.0
2024-01-26T02:19:24,27,800.0
2024-01-26T02:19:24,28,800.0
2024-01-26T02:19:24,29,2400.0
2024-01-26T02:19:24,30,800.0
2024-01-26T02:19:24,31,800.0
2024-01-26T02:19:29,0,800.0
2024-01-26T02:19:29,1,800.0
2024-01-26T02:19:29,2,800.0
2024-01-26T02:19:29,3,800.0
2024-01-26T02:19:29,4,800.0
2024-01-26T02:19:29,5,800.0
2024-01-26T02:19:29,6,800.0
2024-01-26T02:19:29,7,800.0
2024-01-26T02:19:29,8,800.0
2024-01-26T02:19:29,9,2000.0
2024-01-26T02:19:29,10,800.0
2024-01-26T02:19:29,11,1308.29
2024-01-26T02:19:29,12,891.386
2024-01-26T02:19:29,13,800.0
2024-01-26T02:19:29,14,800.0
2024-01-26T02:19:29,15,800.0
2024-01-26T02:19:29,16,800.0
2024-01-26T02:19:29,17,800.0
2024-01-26T02:19:29,18,800.0
2024-01-26T02:19:29,19,800.0
2024-01-26T02:19:29,20,800.0
2024-01-26T02:19:29,21,800.0
2024-01-26T02:19:29,22,800.0
2024-01-26T02:19:29,23,800.0
2024-01-26T02:19:29,24,800.0
2024-01-26T02:19:29,25,800.0
2024-01-26T02:19:29,26,1500.0
2024-01-26T02:19:29,27,800.0
2024-01-26T02:19:29,28,800.0
2024-01-26T02:19:29,29,800.0
2024-01-26T02:19:29,30,800.0
2024-01-26T02:19:29,31,2000.0
2024-01-26T02:19:34,0,800.0
2024-01-26T02:19:34,1,800.0
2024-01-26T02:19:34,2,800.0
2024-01-26T02:19:34,3,800.0
2024-01-26T02:19:34,4,800.0
2024-01-26T02:19:34,5,800.0
2024-01-26T02:19:34,6,800.0
2024-01-26T02:19:34,7,800.0
2024-01-26T02:19:34,8,800.0
2024-01-26T02:19:34,9,800.0
2024-01-26T02:19:34,10,800.0
2024-01-26T02:19:34,11,1134.419
2024-01-26T02:19:34,12,800.0
2024-01-26T02:19:34,13,800.0
2024-01-26T02:19:34,14,800.0
2024-01-26T02:19:34,15,800.0
2024-01-26T02:19:34,16,2000.0
2024-01-26T02:19:34,17,3200.0
2024-01-26T02:19:34,18,800.0
2024-01-26T02:19:34,19,800.0
2024-01-26T02:19:34,20,800.0
2024-01-26T02:19:34,21,800.0
2024-01-26T02:19:34,22,2000.0
2024-01-26T02:19:34,23,800.0
2024-01-26T02:19:34,24,800.0
2024-01-26T02:19:34,25,2800.0
2024-01-26T02:19:34,26,800.0
2024-01-26T02:19:34,27,800.0
2024-01-26T02:19:34,28,800.0
2024-01-26T02:19:34,29,800.0
2024-01-26T02:19:34,30,800.0
2024-01-26T02:19:34,31,2100.0
2024-01-26T02:19:39,0,800.0
2024-01-26T02:19:39,1,800.0
2024-01-26T02:19:39,2,800.0
2024-01-26T02:19:39,3,800.0
2024-01-26T02:19:39,4,800.0
2024-01-26T02:19:39,5,800.0
2024-01-26T02:19:39,6,800.0
2024-01-26T02:19:39,7,800.0
2024-01-26T02:19:39,8,800.0
2024-01-26T02:19:39,9,800.0
2024-01-26T02:19:39,10,2000.0
2024-01-26T02:19:39,11,800.0
2024-01-26T02:19:39,12,800.0
2024-01-26T02:19:39,13,800.0
2024-01-26T02:19:39,14,800.0
2024-01-26T02:19:39,15,800.0
2024-01-26T02:19:39,16,800.0
2024-01-26T02:19:39,17,800.0
2024-01-26T02:19:39,18,800.0
2024-01-26T02:19:39,19,800.0
2024-01-26T02:19:39,20,800.0
2024-01-26T02:19:39,21,800.0
2024-01-26T02:19:39,22,2100.0
2024-01-26T02:19:39,23,800.0
2024-01-26T02:19:39,24,800.0
2024-01-26T02:19:39,25,2100.0
2024-01-26T02:19:39,26,1500.0
2024-01-26T02:19:39,27,800.0
2024-01-26T02:19:39,28,1428.908
2024-01-26T02:19:39,29,1900.0
2024-01-26T02:19:39,30,800.0
2024-01-26T02:19:39,31,800.0
2024-01-26T02:19:44,0,2100.002
2024-01-26T02:19:44,1,2100.001
2024-01-26T02:19:44,2,2088.174
2024-01-26T02:19:44,3,2035.094
2024-01-26T02:19:44,4,2066.461
2024-01-26T02:19:44,5,2058.316
2024-01-26T02:19:44,6,2100.001
2024-01-26T02:19:44,7,2091.459
2024-01-26T02:19:44,8,2082.169
2024-01-26T02:19:44,9,2068.006
2024-01-26T02:19:44,10,2071.558
2024-01-26T02:19:44,11,2059.027
2024-01-26T02:19:44,12,2042.946
2024-01-26T02:19:44,13,2095.932
2024-01-26T02:19:44,14,2096.282
2024-01-26T02:19:44,15,2099.999
2024-01-26T02:19:44,16,2098.976
2024-01-26T02:19:44,17,3100.0
2024-01-26T02:19:44,18,2088.705
2024-01-26T02:19:44,19,2038.331
2024-01-26T02:19:44,20,2068.121
2024-01-26T02:19:44,21,2060.122
2024-01-26T02:19:44,22,3200.0
2024-01-26T02:19:44,23,2088.078
2024-01-26T02:19:44,24,2081.988
2024-01-26T02:19:44,25,2069.558
2024-01-26T02:19:44,26,2072.952
2024-01-26T02:19:44,27,2094.535
2024-01-26T02:19:44,28,2045.742
2024-01-26T02:19:44,29,2200.0
2024-01-26T02:19:44,30,2096.437
2024-01-26T02:19:44,31,2099.999
2024-01-26T02:19:49,0,2500.0
2024-01-26T02:19:49,1,2500.0
2024-01-26T02:19:49,2,2500.0
2024-01-26T02:19:49,3,2499.999
2024-01-26T02:19:49,4,2500.0
2024-01-26T02:19:49,5,2368.201
2024-01-26T02:19:49,6,2500.0
2024-01-26T02:19:49,7,2499.999
2024-01-26T02:19:49,8,2499.999
2024-01-26T02:19:49,9,2499.999
2024-01-26T02:19:49,10,2500.0
2024-01-26T02:19:49,11,2473.179
2024-01-26T02:19:49,12,2446.117
2024-01-26T02:19:49,13,2500.0
2024-01-26T02:19:49,14,2499.999
2024-01-26T02:19:49,15,2500.0
2024-01-26T02:19:49,16,2499.999
2024-01-26T02:19:49,17,2500.0
2024-01-26T02:19:49,18,2499.999
2024-01-26T02:19:49,19,2500.0
2024-01-26T02:19:49,20,2500.0
2024-01-26T02:19:49,21,2431.119
2024-01-26T02:19:49,22,2499.999
2024-01-26T02:19:49,23,2499.998
2024-01-26T02:19:49,24,2499.999
2024-01-26T02:19:49,25,2499.999
2024-01-26T02:19:49,26,2499.999
2024-01-26T02:19:49,27,2384.722
2024-01-26T02:19:49,28,2439.117
2024-01-26T02:19:49,29,2499.999
2024-01-26T02:19:49,30,2499.999
2024-01-26T02:19:49,31,2500.0
2024-01-26T02:19:54,0,2500.0
2024-01-26T02:19:54,1,2499.999
2024-01-26T02:19:54,2,2500.0
2024-01-26T02:19:54,3,2499.998
2024-01-26T02:19:54,4,2500.0
2024-01-26T02:19:54,5,2499.98
2024-01-26T02:19:54,6,2500.0
2024-01-26T02:19:54,7,2500.0
2024-01-26T02:19:54,8,2475.731
2024-01-26T02:19:54,9,2499.999
2024-01-26T02:19:54,10,2500.0
2024-01-26T02:19:54,11,2500.0
2024-01-26T02:19:54,12,2500.0
2024-01-26T02:19:54,13,2500.0
2024-01-26T02:19:54,14,2500.0
2024-01-26T02:19:54,15,2500.0
2024-01-26T02:19:54,16,2500.0
2024-01-26T02:19:54,17,2800.0
2024-01-26T02:19:54,18,2500.0
2024-01-26T02:19:54,19,2499.999
2024-01-26T02:19:54,20,2500.001
2024-01-26T02:19:54,21,2500.001
2024-01-26T02:19:54,22,2500.0
2024-01-26T02:19:54,23,2499.999
2024-01-26T02:19:54,24,2100.0
2024-01-26T02:19:54,25,2499.999
2024-01-26T02:19:54,26,2500.0
2024-01-26T02:19:54,27,2499.999
2024-01-26T02:19:54,28,2499.999
2024-01-26T02:19:54,29,2500.0
2024-01-26T02:19:54,30,2499.999
2024-01-26T02:19:54,31,2499.999
2024-01-26T02:19:59,0,2500.0
2024-01-26T02:19:59,1,2499.999
2024-01-26T02:19:59,2,3100.0
2024-01-26T02:19:59,3,2500.0
2024-01-26T02:19:59,4,2499.998
2024-01-26T02:19:59,5,2499.998
