Linux 5.15.30-2-pve (superserver2) 	01/31/2024 	_x86_64_	(32 CPU)

07:25:03 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
07:31:28 AM 307517532 389096828   2517536      0.64    858408  80732280   6626272      1.64  54705532  27761840       128   1042740   3248028      9712     10144    863148
07:31:33 AM 307517316 389099012   2515160      0.64    858408  80734552   6626404      1.64  54705532  27764364        32   1043008   3248348      9776     10160    863164
07:31:38 AM 307516424 389100236   2514208      0.64    858408  80736544   6626404      1.64  54705540  27766352        76   1042956   3248200      9712     10156    863148
07:31:43 AM 307514960 389101068   2513352      0.64    858408  80738680   6626544      1.64  54705536  27769460       156   1043988   3248384      9696     10912    863148
07:31:48 AM 307512752 389101208   2513724      0.64    858408  80740872   6626800      1.64  54705536  27770856       264   1043188   3248028      9712     10164    863116
07:31:53 AM 307511036 389101528   2513380      0.64    858408  80742808   6626800      1.64  54705536  27773496        12   1043808   3248152      9696     10916    863132
07:31:58 AM 307507116 389099676   2514752      0.64    858408  80744712   6626800      1.64  54705536  27774288       272   1042684   3248796      9680     10052    863148
07:32:03 AM 307508164 389102972   2511452      0.64    858408  80746816   6626932      1.64  54705536  27777032        52   1043400   3248944      9680     10156    863116
07:32:08 AM 307503204 389100436   2513600      0.64    858408  80749112   6627188      1.64  54705532  27779556       352   1043624   3249460      9728     10164    863132
07:32:13 AM 307503288 389102772   2511412      0.64    858408  80751208   6639588      1.65  54705556  27785788       188   1047760   3249468      9696     10212    863164
07:32:18 AM 307505144 389106552   2508020      0.64    858408  80753020   6627320      1.64  54705536  27783668       252   1043840   3249192      9728     10168    863148
07:32:23 AM 307505872 389109128   2505496      0.63    858408  80754760   6627320      1.64  54705532  27785496       188   1043908   3249248      9696     10112    863132
07:32:28 AM 307505316 389111004   2503508      0.63    858408  80757032   6625180      1.64  54705536  27787228       240   1043316   3249520      9680     10112    863140
07:32:33 AM 307503860 389111672   2502844      0.63    858408  80758996   6627716      1.64  54705536  27789952       244   1044132   3249676      9712     10164    863148
07:32:38 AM 307500452 389109964   2504188      0.63    858408  80760592   6627716      1.64  54705536  27791612       284   1044224   3250144      9712     10152    863148
07:32:43 AM 307499308 389111224   2503060      0.63    858408  80762840   6627972      1.64  54705536  27793920        48   1044268   3250168      9680     10140    863116
07:32:48 AM 307496956 389111192   2502992      0.63    858408  80765000   6625568      1.64  54705532  27795164       216   1043284   3250428      9680     10052    863124
07:32:53 AM 307497524 389113480   2500648      0.63    858408  80766660   6625568      1.64  54705532  27796948       216   1043444   3250544      9712     10056    863076
07:32:58 AM 307498456 389116468   2497792      0.63    858408  80768600   6625568      1.64  54705536  27798996       288   1043520   3250528      9680     10048    863076
07:33:03 AM 307498740 389118776   2495472      0.63    858408  80770508   6625824      1.64  54705536  27801016        28   1043628   3250656      9680     10052    863060
07:33:08 AM 307491644 389113784   2500240      0.63    858408  80772468   6625956      1.64  54705532  27803088       208   1043736   3251024      9680     10048    863108
07:33:13 AM 307489892 389114316   2499676      0.63    858408  80774604   6638036      1.65  54705532  27809372         0   1047888   3251204      9680     10556    863172
07:33:18 AM 307489212 389115764   2498704      0.63    858408  80776600   6625956      1.64  54705536  27807456       252   1043964   3250860      9664     10048    863140
07:33:23 AM 307487368 389116108   2498084      0.63    858408  80778644   6626344      1.64  54705536  27809576        40   1044080   3251280      9680     10052    863156
07:33:28 AM 307485744 389116584   2497420      0.63    858408  80780608   6626344      1.64  54705536  27811668       216   1044168   3251604      9664     10048    863156
07:33:33 AM 307484312 389117328   2497040      0.63    858408  80782660   6626480      1.64  54705532  27813664        76   1044124   3251364      9616     10032    863140
07:33:38 AM 307482592 389117660   2496724      0.63    858408  80784568   6626480      1.64  54705536  27815876       228   1044408   3251492      9696     10044    863076
07:33:43 AM 307481224 389118224   2496332      0.63    858408  80786392   6626736      1.64  54705536  27817740        40   1044468   3251428      9632     10284    863076
07:33:48 AM 307478844 389118168   2496368      0.63    858408  80788556   6626736      1.64  54705536  27820072       196   1044612   3251608      9664     10052    863108
07:33:53 AM 307477132 389118688   2495944      0.63    858408  80790628   6626868      1.64  54705532  27822248        56   1044736   3251672      9632     10288    863092
07:33:58 AM 307472884 389116424   2497448      0.63    858408  80792512   6627124      1.64  54705536  27824248       184   1044836   3252532      9696     10052    863124
07:34:03 AM 307474000 389119980   2493788      0.63    858408  80794780   6627124      1.64  54705536  27826812        28   1045168   3252808      9744     10312    863092
07:34:08 AM 307470852 389118976   2495304      0.63    858408  80796800   6627256      1.64  54705532  27828776       232   1045072   3252420      9680     10052    863108
07:34:13 AM 307469892 389119888   2494428      0.63    858408  80798568   6639336      1.65  54705532  27834368       232   1048904   3252488      9680     10820    863124
07:34:18 AM 307468036 389120352   2494156      0.63    858408  80800732   6630048      1.64  54705536  27833428       220   1045792   3252452      9680     10048    863132
07:34:23 AM 307468196 389122444   2491960      0.63    858408  80802556   6627644      1.64  54705528  27834828       288   1045396   3252664      9696     10048    863108
07:34:28 AM 307466244 389122364   2491936      0.63    858408  80804324   6627644      1.64  54705528  27836724        92   1045500   3252872      9680     10052    863140
07:34:33 AM 307464592 389122848   2491780      0.63    858408  80806288   6627796      1.64  54705528  27838744        32   1045568   3252716      9632     10036    863108
07:34:38 AM 307463648 389124000   2490552      0.63    858408  80808308   6628052      1.64  54705536  27840916        84   1045752   3252868      9680     10048    863092
07:34:43 AM 307462816 389125368   2489044      0.63    858408  80810396   6628052      1.64  54705536  27843560        52   1046304   3253120      9696     10304    863076
07:34:48 AM 307460632 389125368   2489040      0.63    858408  80812448   6628308      1.64  54705532  27845328        60   1046008   3253256      9664     10048    863092
07:34:53 AM 307457744 389124676   2489964      0.63    858408  80814496   6628308      1.64  54705536  27847348        24   1045976   3253172      9616     10032    863108
07:34:58 AM 307456004 389124924   2489168      0.63    858408  80816356   6628440      1.64  54705536  27849508       216   1046256   3253848      9664     10048    863108
07:35:03 AM 307454088 389125080   2489008      0.63    858408  80818288   6628696      1.64  54705536  27851604       228   1046448   3253992      9664     10296    863124
07:35:08 AM 307452352 389125404   2488536      0.63    858408  80820228   6628696      1.64  54705532  27853572       316   1046524   3254260      9664     10052    863092
