Linux 5.15.0-91-generic (gl5) 	01/19/2024 	_x86_64_	(32 CPU)

04:41:29 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
04:54:04 PM 379734132 389137728   2806296      0.71   1235824   9668028 174328812     43.23   4270100   8305544      2004   1700252   1414268     10720     34672    268708
04:54:09 PM 379711512 389115832   2828056      0.72   1235828   9668720 170564384     42.30   4270300   8245028      1844   1639624   1414432     10704     34040    268692
04:54:14 PM 379670456 389074740   2869532      0.73   1235832   9668800 174313336     43.23   4270352   8290640      3272   1685316   1413928     10688     34760    268692
04:54:19 PM 379694180 389098916   2845660      0.72   1235836   9669132 174264884     43.22   4270524   8273196       744   1667588   1413740     10672     34676    268580
04:54:24 PM 379694152 389099340   2844472      0.72   1235844   9669592 174270604     43.22   4270612   8273664      1416   1668216   1414488     10688     34720    268596
04:54:29 PM 379733728 389139212   2804992      0.71   1235856   9669876 174285224     43.22   4270688   8278528       416   1672440   1414096     10688     34652    268596
04:54:34 PM 379760124 389166080   2778128      0.70   1235864   9670316 174299548     43.22   4270708   8286980      1472   1680624   1414116     10720     34740    268644
04:54:39 PM 379801204 389207492   2736972      0.69   1235876   9670624 174327108     43.23   4270744   8300372       420   1693516   1413872     10704     34788    268660
04:54:44 PM 379821208 389227956   2716268      0.69   1235880   9671096 174342648     43.23   4270752   8309728      1464   1702516   1414096     10720     34820    268644
04:54:49 PM 379835816 389242856   2701412      0.68   1235888   9671396 174360236     43.24   4270776   8318324       228   1710692   1414036     10720     34840    268612
04:54:54 PM 379823236 389230540   2713676      0.69   1235892   9671708 174481496     43.27   4270780   8361088       676   1753172   1414036     10864     35036    268660
04:54:59 PM 379852296 389260116   2684044      0.68   1235900   9672144 174410148     43.25   4270792   8341736       200   1733732   1414164     10736     34964    268708
04:55:04 PM 379866300 389274384   2669784      0.68   1235908   9672472 174425184     43.26   4270796   8348512       664   1739728   1414084     10736     34984    268676
04:55:09 PM 379872940 389281560   2662832      0.67   1235920   9672960 174436024     43.26   4270832   8352120      1656   1743020   1413896     10736     34948    268708
04:55:14 PM 379846744 389255672   2688688      0.68   1235924   9673312 174460204     43.26   4270844   8366360       508   1757032   1413880     10736     35068    268724
04:55:19 PM 379811916 389221164   2722900      0.69   1235936   9673664 174453524     43.26   4270936   8361972      1568   1751944   1414132     10752     34888    268756
04:55:24 PM 379816312 389225904   2718244      0.69   1235944   9674116 171627136     42.56   4270980   8339956       516   1729836   1413932     10720     34752    268676
04:55:29 PM 379740132 389150192   2794208      0.71   1235956   9674640 174442576     43.26   4271112   8356368      1532   1745556   1413612     10720     35000    268772
04:55:34 PM 379762248 389172448   2772260      0.70   1235960   9674884 168546052     41.80   4271192   8306888       392   1695488   1413196     10752     34032    268692
04:55:39 PM 379822948 389234640   2710576      0.69   1235972   9676308 158242208     39.24   4271328   8193140      2076   1580788   1412744     10688     32268    268660
04:55:44 PM 379723148 389134192   2811328      0.71   1235980   9675748 168508328     41.79   4271436   8287448       324   1676204   1412344     10704     33896    268772
04:55:49 PM 379728624 389140136   2805364      0.71   1235980   9676080 168422528     41.77   4271704   8248180      1380   1636512   1412500     10672     33672    268788
04:55:54 PM 379719340 389131192   2814576      0.71   1235988   9676424 168394052     41.76   4271852   8236228      1096   1624500   1412220     10656     33596    268836
04:55:59 PM 379712164 389124428   2821036      0.71   1235988   9676840 168408092     41.76   4271928   8240012      1156   1627836   1412520     10704     33684    268852
04:56:04 PM 379712240 389124792   2820448      0.71   1235992   9677128 168503696     41.79   4271984   8276504       208   1664212   1412740     10704     33716    268820
04:56:09 PM 379758888 389171488   2773616      0.70   1235996   9677156 168437856     41.77   4271712   8258616      1212   1645448   1412892     10752     33848    268868
04:56:14 PM 379765740 389178596   2766624      0.70   1235996   9677476 168537324     41.80   4271708   8295448       180   1682628   1412712     10736     33752    268820
04:56:19 PM 379813548 389226928   2718156      0.69   1235996   9677948 168468648     41.78   4271720   8275040      1152   1661576   1412900     10752     33860    268900
04:56:24 PM 379859076 389272760   2672308      0.68   1236004   9678252 168500048     41.79   4271732   8289660       168   1676132   1412908     10720     33872    268852
04:56:29 PM 379842940 389256856   2688216      0.68   1236008   9678540 168601248     41.81   4271736   8327136       796   1712784   1412844     10704     33928    268756
04:56:34 PM 379847848 389261936   2683336      0.68   1236012   9678792 168608236     41.81   4271772   8327500       464   1713448   1412560     10720     33488    268708
04:56:39 PM 379870372 389285064   2660372      0.67   1236016   9679308 168542252     41.80   4271784   8311976       988   1696632   1412480     10816     33884    268740
